Date,Open,High,Low,Close,Adj Close,Volume
07-10-21,2.48,2.5,2.46,2.47,2.424259,28108200
08-10-21,2.48,2.49,2.46,2.49,2.443889,19250300
11-10-21,2.49,2.5,2.47,2.48,2.434074,10885400
12-10-21,2.47,2.48,2.43,2.47,2.424259,31443000
13-10-21,2.48,2.51,2.46,2.5,2.453704,44766600
14-10-21,2.5,2.53,2.49,2.51,2.463519,25278500
15-10-21,2.52,2.52,2.5,2.51,2.463519,18554100
18-10-21,2.5,2.56,2.49,2.55,2.502778,50628000
19-10-21,2.56,2.59,2.52,2.55,2.502778,52919800
20-10-21,2.57,2.58,2.53,2.54,2.492963,20122200
21-10-21,2.56,2.57,2.53,2.55,2.502778,17435300
22-10-21,2.55,2.57,2.54,2.57,2.522407,13886900
25-10-21,2.56,2.57,2.54,2.55,2.502778,13547700
26-10-21,2.54,2.55,2.52,2.55,2.502778,16993400
27-10-21,2.53,2.58,2.53,2.56,2.512593,27971700
28-10-21,2.55,2.56,2.53,2.53,2.483148,25471151
29-10-21,2.54,2.55,2.5,2.5,2.453704,35719000
01-11-21,2.52,2.53,2.51,2.52,2.473333,13624900
02-11-21,2.51,2.52,2.48,2.5,2.453704,16339800
03-11-21,2.5,2.53,2.49,2.49,2.443889,20127000
05-11-21,2.49,2.55,2.48,2.54,2.492963,27692000
08-11-21,2.56,2.59,2.56,2.58,2.532222,25774400
09-11-21,2.58,2.59,2.54,2.57,2.522407,19152000
10-11-21,2.56,2.56,2.54,2.55,2.502778,11833300
11-11-21,2.55,2.58,2.52,2.56,2.512593,28651500
12-11-21,2.57,2.59,2.56,2.58,2.532222,25265500
15-11-21,2.57,2.58,2.56,2.58,2.532222,15145300
16-11-21,2.57,2.58,2.53,2.54,2.492963,25667100
17-11-21,2.53,2.54,2.5,2.52,2.473333,27039300
18-11-21,2.5,2.52,2.48,2.52,2.473333,15900800
19-11-21,2.51,2.52,2.48,2.49,2.443889,21839300
22-11-21,2.48,2.52,2.47,2.5,2.453704,27051800
23-11-21,2.49,2.5,2.47,2.49,2.443889,25567400
24-11-21,2.49,2.5,2.48,2.49,2.443889,15957400
25-11-21,2.48,2.49,2.46,2.47,2.424259,38478800
26-11-21,2.47,2.48,2.43,2.44,2.394815,40941900
29-11-21,2.44,2.45,2.4,2.41,2.365371,54897700
30-11-21,2.41,2.42,2.36,2.36,2.316296,119401400
01-12-21,2.38,2.41,2.36,2.4,2.355556,32476990
02-12-21,2.37,2.39,2.36,2.38,2.335926,23444400
03-12-21,2.38,2.39,2.37,2.38,2.335926,25030500
06-12-21,2.37,2.42,2.37,2.39,2.345741,26303400
07-12-21,2.39,2.43,2.38,2.42,2.375185,27391300
08-12-21,2.43,2.48,2.43,2.45,2.40463,35781200
09-12-21,2.45,2.47,2.43,2.45,2.40463,16639800
10-12-21,2.45,2.45,2.42,2.44,2.394815,17325100
13-12-21,2.45,2.47,2.41,2.42,2.375185,20440000
14-12-21,2.41,2.44,2.4,2.42,2.375185,22300900
15-12-21,2.42,2.43,2.4,2.41,2.365371,14191500
16-12-21,2.43,2.45,2.41,2.43,2.385,29356300
17-12-21,2.4,2.41,2.36,2.37,2.37,32672000
20-12-21,2.35,2.36,2.32,2.34,2.34,28139700
21-12-21,2.34,2.35,2.32,2.33,2.33,19412700
22-12-21,2.34,2.35,2.31,2.32,2.32,16846700
23-12-21,2.33,2.34,2.31,2.32,2.32,14121100
24-12-21,2.33,2.34,2.31,2.32,2.32,9934600
27-12-21,2.32,2.34,2.32,2.32,2.32,11981900
28-12-21,2.32,2.36,2.32,2.35,2.35,12591500
29-12-21,2.35,2.36,2.33,2.33,2.33,10435200
30-12-21,2.33,2.34,2.32,2.32,2.32,16582500
31-12-21,2.32,2.34,2.32,2.32,2.32,9453400
03-01-22,2.33,2.34,2.32,2.33,2.33,11174600
04-01-22,2.34,2.35,2.32,2.34,2.34,26369200
